课程,栏目,假名,汉字,释义,词性
第十一课,数量词,ひとり,一人,一个人,数词
第十一课,数量词,ふたり,二人,两个人,数词
第十一课,数量词,さんにん,三人,三个人,数词
第十一课,数量词,よにん,四人,四个人,数词
第十一课,数量词,ごにん,五人,五个人,数词
第十一课,数量词,いちまい,一枚,一张,数词
第十一课,数量词,にまい,二枚,两张,数词
第十一课,数量词,さんまい,三枚,三张,数词
第十一课,数量词,いっぽん,一本,一根/支,数词
第十一课,数量词,にほん,二本,两根/支,数词
第十一课,数量词,さんぼん,三本,三根/支,数词
第十一课,数量词,いっさつ,一冊,一本（书）,数词
第十一课,数量词,にさつ,二冊,两本（书）,数词
第十一课,数量词,さんさつ,三冊,三本（书）,数词
第十一课,数量词,いちだい,一台,一台,数词
第十一课,数量词,にだい,二台,两台,数词
第十一课,家族称呼,おとうさん,お父さん,父亲（敬语）,名词
第十一课,家族称呼,おかあさん,お母さん,母亲（敬语）,名词
第十一课,家族称呼,おにいさん,お兄さん,（他人的）哥哥,名词
第十一课,家族称呼,おねえさん,お姉さん,（他人的）姐姐,名词
第十一课,家族称呼,おとうとさん,弟さん,（他人的）弟弟,名词
第十一课,家族称呼,いもうとさん,妹さん,（他人的）妹妹,名词
第十一课,人物称谓,いしゃ,医者,医生,名词
第十一课,职业名称,かんごし,看護師,护士,名词
第十一课,人物称谓,きょうし,教師,教师,名词
第十一课,人物称谓,エンジニア,エンジニア,工程师,名词
第十一课,职业名称,けいさつかん,警察官,警察,名词
第十一课,职业名称,しょうぼうし,消防士,消防员,名词
第十一课,职业名称,うんてんしゅ,運転手,司机,名词
第十一课,数量词,いくつ,幾つ,几个,疑问词
第十一课,数量词,なんにん,何人,几个人,疑问词
第十一课,数量词,なんまい,何枚,几张,疑问词
第十一课,疑问数量,なんぼん,何本,几根/支,疑问词
第十一课,数量词,なんさつ,何冊,几本（书）,疑问词
第十一课,疑问数量,なんだい,何台,几台,疑问词
第11课,补充词汇,います,います,有〔孩子〕［こどもが～］［子どもが～］,动词(1型)
第11课,时间日期,かかります,かかります,花费（金钱或时间）,动词(1型)
第11课,寒暄语,やすみます,休みます,向〔公司〕请假［かいしゃを～］［会社を～］,动词(1型)
第11课,数量词,ひとつ,1つ,一个（用于计算物品）,动词(1型)
第11课,数量词,ふたつ,2つ,二个,动词(1型)
第11课,数量词,みっつ,3つ,三个,动词(1型)
第11课,数量词,よっつ,4つ,四个,动词(1型)
第11课,数量词,いつつ,5つ,五个,动词(1型)
第11课,数量词,むっつ,6つ,六个,动词(1型)
第11课,数量词,ななつ,7つ,七个,动词(1型)
第11课,数量词,やっつ,8つ,八个,动词(1型)
第11课,数量词,ここのつ,9つ,九个,动词(1型)
第11课,数量词,とお,10つ,十个,数词
第11课,数量词,にん,人,…个人,数词
第11课,形容词,だい,だい,…台（用于计算机械、车辆等机械类时）,い形容词
第11课,数量词,まい,まい,…枚（用于计算纸张、邮票等薄的物品时）,时间词
第11课,形容词,かい,…回,…次,い形容词
第11课,数量词,りんご,りんご,苹果,数词
第11课,补充词汇,みかん,みかん,桔子,名词
第11课,时间日期,サンドイッチ,サンドイッチ,三明治,外来词
第11课,补充词汇,カレー［ライス］,カレー［ライス］,咖哩〔饭〕,外来词
第11课,补充词汇,アイスクリーム,アイスクリーム,冰淇淋,外来词
第11课,补充词汇,きって,切手,邮票,名词
第11课,时间日期,はがき,はがき,明信片,名词
第11课,补充词汇,ふうとう,封筒,信封,动词(1型)
第11课,补充词汇,そくたつ,速達,限时信,动词(1型)
第11课,补充词汇,かきとめ,書留,挂号信,名词
第11课,补充词汇,エアメール,エアメール,航空邮件，航空信（こうくうびん）（航空便）,外来词
第11课,交通工具,ふなびん,船便,船运,名词
第11课,补充词汇,りょうしん,両親,双亲,名词
第11课,形容词,きょうだい,兄弟,兄弟姐妹,い形容词
第11课,数量词,あに,兄,（我）哥哥,数词
第11课,补充词汇,あね,姉,（我）姐姐,代词
第11课,补充词汇,おとうと,弟,（我）弟弟,代词
第11课,补充词汇,いもうと,妹,（我）妹妹,代词
第11课,补充词汇,がいこく,外国,外国,动词(1型)
第11课,时间日期,じかん,…時間,…小时,时间词
第11课,时间日期,しゅうかん,…週間,…星期,时间词
第11课,时间日期,かげつ,…か月,…个月,动词(1型)
第11课,时间日期,ねん,…年,…年,时间词
第11课,形容词,～ぐらい,～ぐらい,～左右,い形容词
第11课,形容词,どのぐらい,どのぐらい,多久,い形容词
第11课,补充词汇,ぜんぶで,全部で,一共,名词
第11课,补充词汇,みんな,みんな,全部，全体,名词
第11课,数量词,～だけ,～だけ,只～，仅～,名词
第11课,寒暄语,いらっしゃいませ。,いらっしゃいませ。,欢迎光临（商店、行号在顾客光临时用）,寒暄语
