课程,栏目,假名,汉字,释义,词性
第九课,喜好表达,すき,好き,喜欢,形容词
第九课,喜好表达,だいすき,大好き,很喜欢,形容词
第九课,喜好表达,きらい,嫌い,讨厌,形容词
第九课,喜好表达,だいきらい,大嫌い,很讨厌,形容词
第九课,理由表达,どうして,どうして,为什么,疑问词
第九课,理由表达,から,から,因为,助词
第九课,能力表达,じょうず,上手,擅长,形容词
第九课,能力表达,へた,下手,不擅长,形容词
第九课,移动动词,できます,出来ます,会/能够,动词
第九课,运动爱好,スポーツ,スポーツ,运动，体育（～をします：做运动）,名词
第九课,运动爱好,やきゅう,野球,棒球（～をします：打棒球）,名词
第九课,运动爱好,サッカー,サッカー,足球,名词
第九课,运动爱好,テニス,テニス,网球,名词
第九课,运动爱好,ゴルフ,ゴルフ,高尔夫,名词
第九课,运动爱好,およぎ,泳ぎ,游泳,名词
第九课,运动爱好,じょぎんぐ,ジョギング,慢跑,名词
第九课,艺术活动,うた,歌,歌曲，歌,名词
第九课,艺术活动,ダンス,ダンス,跳舞，舞蹈（～をします：跳舞）,名词
第九课,艺术活动,りょうり,料理,料理，菜,名词
第九课,艺术活动,え,絵,画,名词
第九课,艺术活动,ピアノ,ピアノ,钢琴,名词
第九课,艺术活动,ギター,ギター,吉他,名词
第九课,学习科目,べんきょう,勉強,学习,名词
第九课,时间日期,にほんご,日本語,日语,名词
第九课,学习科目,えいご,英語,英语,名词
第九课,国家城市,ちゅうごくご,中国語,中文,名词
第九课,学习科目,かんこくご,韓国語,韩语,名词
第九课,时间日期,よく,よく,很，十分,副词
第九课,时间日期,ときどき,時々,有时,副词
第九课,频度副词,あまり,あまり,不太,副词
第九课,频度副词,ぜんぜん,全然,完全，一点也（用于否定句）,副词
第09课,时间日期,わかります,わかります,了解，明白，懂,动词(1型)
第09课,补充词汇,あります,あります,有,动词(1型)
第09课,形容词,すき［な］,好き［な］,喜欢（的），爱好（的）,な形容词
第09课,形容词,きらい［な］,嫌い［な］,讨厌（的），不喜欢（的）,な形容词
第09课,时间日期,じょうず［な］,上手［な］,好（的），高明（的）,な形容词
第09课,形容词,へた［な］,下手［な］,不行〔的〕，笨拙〔的〕,な形容词
第09课,补充词汇,のみもの,飲み物,饮料,名词
第09课,补充词汇,おんがく,音楽,音乐,动词(1型)
第09课,补充词汇,クラシック,クラシック,古典音乐,外来词
第09课,补充词汇,ジャズ,ジャズ,爵士乐,外来词
第09课,补充词汇,コンサート,コンサート,音乐会，演奏会,外来词
第09课,补充词汇,カラオケ,カラオケ,卡拉OK,外来词
第09课,时间日期,かぶき,歌舞伎,歌舞伎(日本的传统戏剧）,な形容词
第09课,补充词汇,じ,字,字,名词
第09课,补充词汇,かんじ,漢字,汉字,名词
第09课,补充词汇,ひらがな,ひらがな,平假名,名词
第09课,补充词汇,かたかな,かたかな,片假名,名词
第09课,补充词汇,ローマじ,ローマ字,罗马拼音,外来词
第09课,补充词汇,こまかい(おかね),細かい(お金),零钱,名词
第09课,补充词汇,チケット,チケット,票,外来词
第09课,时间日期,じかん,時間,时间,时间词
第09课,形容词,ようじ,用事,（必须办的）事情，工作,な形容词
第09课,补充词汇,やくそく,約束,约定，承诺,动词(1型)
第09课,形容词,ごしゅじん,ご主人,（他人的）丈夫,な形容词
第09课,形容词,おっと／しゅじん,夫／主人,（自己的）丈夫,な形容词
第09课,形容词,おくさん,奥さん,（他人的）妻子,な形容词
第09课,场所地点,つま／かない,妻／家内,（自己的）妻子,名词
第09课,补充词汇,こども,子ども,小孩,名词
第09课,形容词,だいたい,だいたい,大致，大概,い形容词
第09课,数量词,たくさん,たくさん,很多,数词
第09课,补充词汇,すこし,少し,少，稍微,副词
第09课,补充词汇,はやく,早く、速く,早些，快些,动词(1型)
第09课,补充词汇,～から,～から,因为～,名词
第09课,补充词汇,ざんねんです［ね］。,残念です［ね］,真遗憾（呀）。,名词
第09课,寒暄语,すみません。,すみません。,很抱歉。,副词
