课程,栏目,假名,汉字,释义,词性
第十七课,能力可能,できます,出来ます,能够,动词
第十七课,能力可能,はなせます,話せます,能说,动词
第十七课,能力可能,かけます,書けます,能写,动词
第十七课,能力可能,よめます,読めます,能读,动词
第十七课,能力可能,ききとれます,聞き取れます,能听懂,动词
第十七课,语言能力,にほんご,日本語,日语,名词
第十七课,语言能力,えいご,英語,英语,名词
第十七课,语言能力,ちゅうごくご,中国語,中文,名词
第十七课,语言能力,かんこくご,韓国語,韩语,名词
第十七课,语言能力,ドイツご,ドイツ語,德语,名词
第十七课,语言能力,フランスご,フランス語,法语,名词
第十七课,语言能力,スペインご,スペイン語,西班牙语,名词
第十七课,技能才艺,うんてん,運転,驾驶,名词
第十七课,生活技能,りょうり,料理,做饭,名词
第十七课,技能才艺,ピアノ,ピアノ,钢琴,名词
第十七课,技能才艺,ギター,ギター,吉他,名词
第十七课,技能才艺,え,絵,画画,名词
第十七课,技能才艺,しゃしん,写真,摄影,名词
第十七课,生活技能,せんたく,洗濯,洗衣,名词
第十七课,生活技能,そうじ,掃除,打扫,名词
第十七课,生活技能,かいもの,買い物,购物,名词
第十七课,学习技能,べんきょう,勉強,学习,名词
第十七课,学习技能,けいさん,計算,计算,名词
第十七课,学习技能,タイピング,タイピング,打字,名词
第十七课,学习技能,パソコン,パソコン,电脑操作,名词
第十七课,程度表达,じょうずに,上手に,熟练地,副词
第十七课,程度表达,へたに,下手に,不熟练地,副词
第十七课,程度表达,すこし,少し,一点,副词
第十七课,程度表达,ぜんぜん,全然,完全不,副词
第十七课,程度表达,よく,よく,很好地,副词
第十七课,程度表达,あまり,あまり,不太,副词
第十七课,疑问表达,どのくらい,どのくらい,多长时间,疑问词
第十七课,疑问表达,いつから,いつから,从什么时候,疑问词
第17课,补充词汇,おぼえます,覚えます,记住,动词(1型)
第17课,补充词汇,わすれます,忘れます,忘记,动词(1型)
第17课,补充词汇,なくします,なくします,遗失,动词(1型)
第17课,补充词汇,だします,出します,提交〔报告〕［レポートを～］,动词(1型)
第17课,补充词汇,はらいます,払います,支付，付款,动词(1型)
第17课,补充词汇,かえします,返します,归还，还,动词(1型)
第17课,补充词汇,でかけます,出かけます,出门，外出,动词(1型)
第17课,补充词汇,ぬぎます,脱ぎます,脱（衣服、鞋等）,动词(1型)
第17课,补充词汇,もっていきます,持って行きます,带（某物）去,动词(1型)
第17课,补充词汇,もってきます,持って来ます,带（某物）来,动词(1型)
第17课,补充词汇,しんぱいします,心配します,担心,动词(1型)
第17课,补充词汇,ざんぎょうします,残業します,加班,动词(1型)
第17课,补充词汇,しゅっちょうします,出張します,出差,动词(1型)
第17课,补充词汇,のみます,飲みます,吃（药）、服（药）［くすりを～］［薬を～］,动词(1型)
第17课,补充词汇,はいります,入ります,洗澡［おふろに～］,动词(1型)
第17课,补充词汇,たいせつ［な］,大切［な］,重要的,な形容词
第17课,补充词汇,だいじょうぶ［な］,大丈夫［な］,放心，没关系的,な形容词
第17课,补充词汇,あぶない,危ない,危险,い形容词
第17课,补充词汇,もんだい,問題,问题,い形容词
第17课,补充词汇,こたえ,答え,回答,名词
第17课,补充词汇,きんえん,禁煙,禁烟,名词
第17课,补充词汇,［けんこう］ほけんしょう,［健康］保険証,健康保险证,动词(1型)
第17课,补充词汇,かぜ,かぜ,感冒,名词
第17课,补充词汇,ねつ,熱,发烧,动词(1型)
第17课,补充词汇,びょうき,病気,病，生病,名词
第17课,补充词汇,くすり,薬,药,名词
第17课,补充词汇,［お］ふろ,［お］ふろ,洗澡,名词
第17课,补充词汇,うわぎ,上着,夹克，外套,方位词
第17课,补充词汇,したぎ,下着,內衣,名词
第17课,补充词汇,せんせい,先生,医师（对医生的称呼）,名词
第17课,补充词汇,2、3にち,2、3日,两三天,数词
第17课,补充词汇,2、3～,2、3～,二三～（用于不定数量的计算）,な形容词
第17课,补充词汇,～までに,～までに,～在之前（表示时间的期限）,な形容词
第17课,补充词汇,ですから,ですから,所以，因此,名词
