课程,栏目,假名,汉字,释义,词性
第四课,时间日期,なんようび,何曜日,星期几,名词
第四课,时间日期,げつようび,月曜日,星期一,名词
第四课,时间日期,かようび,火曜日,星期二,名词
第四课,时间日期,すいようび,水曜日,星期三,名词
第四课,时间日期,もくようび,木曜日,星期四,名词
第四课,时间日期,きんようび,金曜日,星期五,名词
第四课,时间日期,どようび,土曜日,星期六,名词
第四课,时间日期,にちようび,日曜日,星期日,名词
第四课,时间日期,きのう,昨日,昨天,名词
第四课,时间日期,おととい,一昨日,前天,名词
第四课,时间日期,きょう,今日,今天,名词
第四课,时间日期,あした,明日,明天,名词
第四课,时间日期,あさって,明後日,后天,名词
第四课,时间日期,ごぜん,午前,上午,名词
第四课,时间日期,ごご,午後,下午,名词
第四课,时间概念（一天内）,あさ,朝,早晨,名词
第四课,时间日期,ばん,晩,晚上,名词
第四课,时间概念（一天内）,ひる,昼,白天，中午,名词
第四课,移动动词,おきます,起きます,起床，起来,动词
第四课,日常动作,ねます,寝ます,睡觉，就寝,动词
第四课,基本动作,たべます,食べます,吃,动词
第四课,基本动作,のみます,飲みます,喝,动词
第四课,移动动词,いきます,行きます,去,动词
第四课,移动动词,きます,来ます,来,动词
第四课,移动动词,かえります,帰ります,回来,动词
第四课,场所地点,がっこう,学校,学校,名词
第四课,场所地点,いえ,家,家,名词
第四课,场所地点,かいしゃ,会社,公司,名词
第四课,食物饮品,みず,水,水,名词
第四课,食物饮品,ごはん,ご飯,米饭,名词
第四课,学习用品,ほん,本,书,名词
第四课,交通工具,でんしゃ,電車,电车,名词
第04课,移动动词,はたらきます,働きます,工作,动词(1型)
第04课,基本动作,やすみます,休みます,休息,动词(1型)
第04课,补充词汇,べんきょうします,勉強します,念书，用功,动词(1型)
第04课,补充词汇,おわります,終わります,结束,动词(1型)
第04课,场所地点,デパート,デパート,百货公司,外来词
第04课,补充词汇,ぎんこう,銀行,银行,动词(1型)
第04课,补充词汇,ゆうびんきょく,郵便局,邮局,动词(1型)
第04课,学习用品,としょかん,図書館,图书馆,名词
第04课,补充词汇,びじゅつかん,美術館,美术馆,名词
第04课,时间日期,いま,今,现在,时间词
第04课,时间日期,…じ,…時,…点（钟）,时间词
第04课,时间日期,…ふん（…ぷん）,…分,…分（钟）,时间词
第04课,补充词汇,はん,半,半,名词
第04课,时间日期,なんじ,何時,几点,时间词
第04课,时间日期,なんぷん,何分,几分,时间词
第04课,时间日期,ばん（よる）,晩（夜）,晚上，夜晚,方位词
第04课,时间日期,けさ,けさ,今天早上,时间词
第04课,时间日期,こんばん,今晩,今天晚上,时间词
第04课,补充词汇,やすみ,休み,休息，休假,名词
第04课,补充词汇,ひるやすみ,昼休み,午休,名词
第04课,补充词汇,まいあさ,毎朝,每天早上,方位词
第04课,时间日期,まいばん,毎晩,每天晚上,方位词
第04课,时间日期,まいにち,毎日,每天,数词
第04课,补充词汇,ばんごう,番号,号码,动词(1型)
第04课,补充词汇,なんばん,何番,几号,名词
第04课,补充词汇,～から,～から,从～,名词
第04课,补充词汇,～まで,～まで,到～,名词
第04课,补充词汇,～と～,～と～,和（用于连接名词）,名词
第04课,补充词汇,そちら,そちら,那里,方位词
第04课,形容词,たいへんですね。,大変ですね。,够呛。/（表示同情和慰问对方的心情）,な形容词
第04课,补充词汇,え―と,え―と,嗯，我看看,代词
