课程,栏目,假名,汉字,释义,词性
第一课,人称代词,わたし,私,我,代词
第一课,人称代词,あなた,あなた,你，妳,代词
第一课,人称代词,あの人,あの人,那个人,代词
第一课,国籍与职业,がくせい,学生,学生,名词
第一课,国籍与职业,せんせい,先生,老师，教导者,名词
第一课,国籍与职业,かいしゃいん,会社員,公司职员,名词
第一课,国籍与职业,ちゅうごくじん,中国人,中国人,名词
第一课,国籍与职业,にほんじん,日本人,日本人,名词
第一课,国籍与职业,かんこくじん,韓国人,韩国人,名词
第一课,国籍与职业,アメリカじん,アメリカ人,美国人,名词
第一课,基本动词,です,です,是,助动词
第一课,基本动词,ではありません,ではありません,不是,助动词
第一课,疑问词,だれ,誰,谁,疑问词
第一课,疑问词,なん,何,什么,疑问词
第一课,问候语,はじめまして,初めまして,初次见面,感叹词
第一课,问候语,よろしく,よろしく,请多关照,感叹词
第一课,问候语,こちらこそ,こちらこそ,我才是,感叹词
第01课,补充词汇,わたしたち,わたしたち,我们,代词
第01课,补充词汇,あのひと,あの人,他，她，那个人,代词
第01课,补充词汇,みなさん,皆さん,各位，大家,数词
第01课,补充词汇,～さん,～さん,～先生，～小姐，～女士,数词
第01课,补充词汇,～ちゃん,～ちゃん,用于小孩的名字后,な形容词
第01课,补充词汇,～くん,～君,～君（用于男孩的名字后）,な形容词
第01课,补充词汇,～じん,～じん,～人（表国籍）,专有名词
第01课,补充词汇,きょうし,教師,教师,名词
第01课,补充词汇,しゃいん,社員,～公司的职员（和公司名称一起使用）,な形容词
第01课,补充词汇,ぎんこういん,銀行員,银行员,专有名词
第01课,补充词汇,いしゃ,医者,医生,名词
第01课,补充词汇,けんきゅうしゃ,研究者,研究人员,数词
第01课,补充词汇,エンジニア,エンジニア,工程师,外来词
第01课,补充词汇,だいがく,大学,大学,动词(1型)
第01课,补充词汇,びょういん,病院,医院,专有名词
第01课,补充词汇,でんき,電気,电，电灯,名词
第01课,补充词汇,だれ（どなた）,だれ（どなた）,谁（哪位）（“どなた”是“だれ”的礼貌形）,な形容词
第01课,补充词汇,…さい,…歳,…岁,い形容词
第01课,补充词汇,なんさい,何歳,几岁（おいくつ）（“おいくつ”是“なんさい”的礼貌形）,名词
第01课,补充词汇,はい,はい,是，对,い形容词
第01课,补充词汇,いいえ,いいえ,不，不是,名词
第01课,补充词汇,しつれいですが,失礼ですが,冒昧请教一下,寒暄语
第01课,补充词汇,おなまえは？,お名前は？,您贵姓？,名词
第01课,补充词汇,はじめまして。,初めまして。,初次见面。（第一次见面时的寒喧）,な形容词
第01课,补充词汇,どうぞよろしく［おねがいします］。,どうぞよろしく［お願いします］。,请多关照。（第一次见面的问候语）,な形容词
第01课,补充词汇,こちらは～さんです。,こちらは～さんです。,这位是～先生/小姐。,数词
第01课,补充词汇,～からきました。,～から来ました。,我从～來。,动词(3型)
