课程,栏目,假名,汉字,释义,词性
第十二课,移动动词,でした,でした,了（な形容词过去时）,助动词
第十二课,移动动词,ではありませんでした,ではありませんでした,不...了（な形容词过去否定）,助动词
第十二课,移动动词,ました,ました,了（动词过去时）,助动词
第十二课,移动动词,ませんでした,ませんでした,没有（动词过去否定）,助动词
第十二课,时间日期,きのう,昨日,昨天,名词
第十二课,时间日期,おととい,一昨日,前天,名词
第十二课,时间表达,せんしゅう,先週,上周,名词
第十二课,时间日期,せんげつ,先月,上个月,名词
第十二课,时间日期,きょねん,去年,去年,名词
第十二课,天气状况,はれ,晴れ,晴天,名词
第十二课,天气状况,くもり,曇り,阴天,名词
第十二课,天气状况,あめ,雨,雨，下雨,名词
第十二课,天气状况,ゆき,雪,雪，下雪,名词
第十二课,天气状况,かぜ,風,风,名词
第十二课,天气状况,てんき,天気,天气,名词
第十二课,季节月份,はる,春,春天,名词
第十二课,季节月份,なつ,夏,夏天,名词
第十二课,季节月份,あき,秋,秋天,名词
第十二课,季节月份,ふゆ,冬,冬天,名词
第十二课,时间日期,いちがつ,一月,一月,名词
第十二课,时间日期,にがつ,二月,二月,名词
第十二课,时间日期,さんがつ,三月,三月,名词
第十二课,时间日期,しがつ,四月,四月,名词
第十二课,时间日期,ごがつ,五月,五月,名词
第十二课,时间日期,ろくがつ,六月,六月,名词
第十二课,形容词过去时,かった,かった,了（い形容词过去时）,语尾
第十二课,形容词过去时,くなかった,くなかった,不...了（い形容词过去否定）,语尾
第十二课,感受表达,たのしい,楽しい,快乐的,形容词
第十二课,感受表达,つまらない,詰まらない,无聊的,形容词
第十二课,感受表达,たいへん,大変,辛苦的,形容词
第十二课,感受表达,らく,楽,轻松的,形容词
第12课,补充词汇,かんたん［な］,簡単［な］,简单，单纯,名词
第12课,形容词,ちかい,近い,近,い形容词
第12课,数量词,とおい,遠い,远,い形容词
第12课,形容词,はやい,速い、早い,快，早,い形容词
第12课,形容词,おそい,遅い,慢，晚,い形容词
第12课,形容词,おおい,多い,〔人〕多，多［ひとが～］［人が～］,い形容词
第12课,形容词,すくない,少ない,〔人〕少，少［ひとが～］［人が～］,い形容词
第12课,形容词,あたたかい,暖かい、温かい,温暖，温热,い形容词
第12课,形容词,すずしい,涼しい,凉,い形容词
第12课,形容词,あまい,甘い,甜,い形容词
第12课,形容词,からい,辛い,辣，咸,い形容词
第12课,形容词,おもい,重い,重,い形容词
第12课,形容词,かるい,軽い,轻,い形容词
第12课,形容词,いい,いい,好（咖啡）［コーヒーが～］,い形容词
第12课,补充词汇,きせつ,季節,季节,动词(1型)
第12课,补充词汇,ホテル,ホテル,饭店，旅馆,外来词
第12课,补充词汇,くうこう,空港,机场,动词(1型)
第12课,补充词汇,うみ,海,海,名词
第12课,形容词,せかい,世界,世界,い形容词
第12课,补充词汇,パーティー,パーティー,舞会，餐会（～をします：办舞会）,外来词
第12课,补充词汇,［お］まつり,［お］祭り,节庆，庆典,名词
第12课,补充词汇,しけん,試験,考试,名词
第12课,形容词,すきやき,すき焼き,鸡素烧（牛肉和蔬菜的火锅）,な形容词
第12课,补充词汇,さしみ,刺身,生鱼片,名词
第12课,补充词汇,［お］すし,［お］すし,寿司,名词
第12课,补充词汇,てんぷら,てんぷら,天妇罗,名词
第12课,补充词汇,いけばな,生け花,花道，插花（～をします：插花）,名词
第12课,形容词,もみじ,紅葉,红叶（秋天的各种变色叶）,な形容词
第12课,补充词汇,どちら,どちら,哪边（自二选一）,代词
第12课,补充词汇,どちらも,どちらも,二者都,名词
第12课,补充词汇,ずっと,ずっと,～得多，～得很,副词
第12课,补充词汇,はじめて,初めて,第一次,名词
