课程,栏目,假名,汉字,释义,词性
第二十课,寒暄语,いらっしゃいませ,いらっしゃいませ,欢迎光临,敬语
第二十课,寒暄语,ありがとうございます,ありがとうございます,谢谢,敬语
第二十课,寒暄语,すみません,すみません,对不起,敬语
第二十课,寒暄语,しつれいします,失礼します,打扰了,敬语
第二十课,敬语表达,おつかれさまでした,お疲れ様でした,辛苦了,敬语
第二十课,商店购物,みせ,店,商店,名词
第二十课,场所地点,デパート,デパート,百货商店,名词
第二十课,场所地点,スーパー,スーパー,超市,名词
第二十课,商店购物,コンビニ,コンビニ,便利店,名词
第二十课,学习用品,ほんや,本屋,书店,名词
第二十课,商店购物,くすりや,薬屋,药店,名词
第二十课,商店购物,でんきや,電気屋,电器店,名词
第二十课,购物用品,かいもの,買い物,购物,名词
第二十课,购物用品,おかね,お金,钱,名词
第二十课,购物用品,レシート,レシート,收据,名词
第二十课,购物用品,ふくろ,袋,袋子,名词
第二十课,学习用品,かーど,カード,卡,名词
第二十课,服装用品,ふく,服,衣服,名词
第二十课,服装配件,くつ,靴,鞋,名词
第二十课,服装配件,かばん,鞄,包,名词
第二十课,时间日期,とけい,時計,手表,名词
第二十课,服装配件,アクセサリー,アクセサリー,饰品,名词
第二十课,尺寸大小,おおきい,大きい,大的,形容词
第二十课,尺寸大小,ちいさい,小さい,小的,形容词
第二十课,尺寸大小,ながい,長い,长的,形容词
第二十课,尺寸大小,みじかい,短い,短的,形容词
第二十课,尺寸大小,サイズ,サイズ,尺寸,名词
第二十课,颜色选择,いろ,色,颜色,名词
第二十课,颜色选择,あか,赤,红色,名词
第二十课,颜色选择,あお,青,蓝色,名词
第二十课,颜色选择,きいろ,黄色,黄色,名词
第二十课,购物表达,いくらですか,いくらですか,多少钱,疑问句
第二十课,购物表达,やすく,安く,便宜地,副词
第二十课,购物表达,たかく,高く,贵地,副词
第20课,补充词汇,いります,要ります,要，需要〔签证〕［ビザが～］,动词(1型)
第20课,补充词汇,しらべます,調べます,调查,动词(1型)
第20课,补充词汇,なおします,直します,修理，改正,动词(1型)
第20课,补充词汇,しゅうりします,修理します,修理,动词(1型)
第20课,补充词汇,でんわします,電話します,打电话,动词(1型)
第20课,补充词汇,ぼく,僕,"我（男性用语，不如""わたし""礼貌）",动词(1型)
第20课,补充词汇,きみ,君,"你（男性对晚辈或同辈用，不如""あなた""礼貌）",代词
第20课,补充词汇,～くん,～君,"～君（男性称呼晚辈或同辈用，不如""さん""礼貌）",名词
第20课,补充词汇,うん,うん,"对（不如""はい""礼貌）",名词
第20课,补充词汇,ううん,ううん,"不对（不如""いいえ""礼貌）",名词
第20课,食物饮品,サラリーマン,サラリーマン,薪水阶级，上班族,外来词
第20课,补充词汇,ことば,ことば,单字，语言,名词
第20课,补充词汇,ぶっか,物価,物价,名词
第20课,时间日期,きもの,着物,和服（传统的日本服装）,な形容词
第20课,补充词汇,ビザ,ビザ,签证,外来词
第20课,补充词汇,はじめ,初め,开始,名词
第20课,补充词汇,おわり,終わり,结束,名词
第20课,补充词汇,こっち,こっち,"这边（不如""こちら""礼貌）",代词
第20课,补充词汇,そっち,そっち,"那边（不如""そちら""礼貌）",代词
第20课,补充词汇,あっち,あっち,"那边（不如""あちら""礼貌）",代词
第20课,补充词汇,どっち,どっち,"哪边（不如""どちら""礼貌）",代词
第20课,时间日期,このあいだ,この間,日前，前些天,时间词
第20课,场所地点,みんなで,みんなで,大家一起,名词
第20课,补充词汇,～けど,～けど,"但是（不如""が""正式）",名词
