课程,栏目,假名,汉字,释义,词性
第十四课,动词变形,て形,て形,动词て形,语法
第十四课,动词变形,ている,ている,正在进行,动词
第十四课,寒暄语,てください,てください,请...,敬语
第十四课,动词变形,てはいけません,てはいけません,不可以...,动词
第十四课,现在进行时,はたらいている,働いている,正在工作,动词
第十四课,现在进行时,べんきょうしている,勉強している,正在学习,动词
第十四课,现在进行时,やすんでいる,休んでいる,正在休息,动词
第十四课,基本动作,たべている,食べている,正在吃,动词
第十四课,基本动作,のんでいる,飲んでいる,正在喝,动词
第十四课,基本动作,みている,見ている,正在看,动词
第十四课,状态表达,けっこんしている,結婚している,已婚,动词
第十四课,状态表达,しんでいる,死んでいる,已死,动词
第十四课,状态表达,すんでいる,住んでいる,居住,动词
第十四课,状态表达,つとめている,勤めている,工作,动词
第十四课,状态表达,きている,着ている,穿着,动词
第十四课,状态表达,かぶっている,被っている,戴着,动词
第十四课,寒暄语,ちょっとまって,ちょっと待って,请等一下,感叹词
第十四课,寒暄语,すみませんが,すみませんが,不好意思，但是,感叹词
第十四课,工作场所,オフィス,オフィス,办公室,名词
第十四课,工作场所,こうじょう,工場,工厂,名词
第十四课,工作场所,みせ,店,商店,名词
第十四课,场所地点,レストラン,レストラン,餐厅,名词
第十四课,职业动作,はたらく,働く,工作,动词
第十四课,职业动作,やすむ,休む,休息,动词
第十四课,职业动作,はじまる,始まる,开始,动词
第十四课,职业动作,おわる,終わる,结束,动词
第十四课,时间日期,いま,今,现在,名词
第十四课,时间日期,ごぜん,午前,上午,名词
第十四课,时间日期,ごご,午後,下午,名词
第十四课,时间日期,まいにち,毎日,每天,名词
第十四课,时间点,まいしゅう,毎週,每周,名词
第14课,补充词汇,つけます,つけます,打开（电灯、冷气等）,动词(1型)
第14课,补充词汇,けします,消します,关掉（电灯、冷气等）,动词(1型)
第14课,补充词汇,あけます,開けます,打开（门、窗等）,动词(1型)
第14课,补充词汇,しめます,閉めます,关闭（门、窗等）,动词(1型)
第14课,补充词汇,いそぎます,急ぎます,赶快，着急,动词(1型)
第14课,补充词汇,まちます,待ちます,等,动词(1型)
第14课,补充词汇,とめます,止めます,停止，停车,动词(1型)
第14课,补充词汇,まがります,曲がります,转向〔右边〕［みぎへ～］［右へ～］,动词(1型)
第14课,补充词汇,もちます,持ちます,持有，携带,动词(1型)
第14课,补充词汇,とります,取ります,拿，持,动词(1型)
第14课,补充词汇,てつだいます,手伝います,帮忙，帮助,动词(1型)
第14课,补充词汇,よびます,呼びます,呼叫，呼唤,动词(1型)
第14课,补充词汇,はなします,話します,讲，说,动词(1型)
第14课,基本动作,みせます,見せます,出示，让人看,动词(1型)
第14课,补充词汇,おしえます,教えます,告诉〔地址〕［じゅうしょを～］［住所を～］,动词(1型)
第14课,补充词汇,はじめます,始めます,开始,动词(1型)
第14课,补充词汇,ふります,降ります,下（雨）［あめが～］［雨が～］,动词(1型)
第14课,补充词汇,コピーします,コピーします,影印,动词(1型)
第14课,补充词汇,エアコン,エアコン,冷暖气机，空调机,外来词
第14课,补充词汇,パスポート,パスポート,护照,外来词
第14课,补充词汇,なまえ,名前,名字，姓名,名词
第14课,数量词,じゅうしょ,住所,地址，住址,数词
第14课,补充词汇,ちず,地図,地图,名词
第14课,补充词汇,しお,塩,盐,名词
第14课,补充词汇,さとう,砂糖,砂糖,动词(1型)
第14课,补充词汇,よみかた,読み方,念法，读法,名词
第14课,补充词汇,～かた,～方,～方式,名词
第14课,补充词汇,ゆっくり,ゆっくり,慢慢地,名词
第14课,补充词汇,すぐ,すぐ,马上，立刻,动词(1型)
第14课,补充词汇,また,また,再，又,名词
第14课,补充词汇,あとで,あとで,等一下，稍后,方位词
第14课,补充词汇,もうすこし,もう少し,再多一些,名词
第14课,形容词,もう～,もう～,再～，另外的～,な形容词
第14课,补充词汇,いいですよ。,いいですよ。,好呀。／可以呀。,名词
第14课,补充词汇,さあ,さあ,好啦（提议做某事时用）,时间词
第14课,补充词汇,あれ？,あれ？,什么？（表示惊讶）,代词
