课程,栏目,假名,汉字,释义,词性
第二十一课,意见建议,と思います,と思います,我认为,表达
第二十一课,意见建议,でしょう,でしょう,吧/大概,助动词
第二十一课,意见建议,たぶん,多分,大概，可能,副词
第二十一课,意见建议,きっと,きっと,一定,副词
第二十一课,天气预报,てんき,天気,天气,名词
第二十一课,天气预报,はれ,晴れ,晴天,名词
第二十一课,天气预报,くもり,曇り,阴天,名词
第二十一课,天气预报,あめ,雨,雨,名词
第二十一课,天气预报,ゆき,雪,雪,名词
第二十一课,天气预报,かぜ,風,风,名词
第二十一课,天气预报,たいふう,台風,台风,名词
第二十一课,天气预报,つゆ,梅雨,梅雨,名词
第二十一课,季节活动,はる,春,春天,名词
第二十一课,季节活动,なつ,夏,夏天,名词
第二十一课,季节活动,あき,秋,秋天,名词
第二十一课,季节活动,ふゆ,冬,冬天,名词
第二十一课,季节活动,はなみ,花見,赏花,名词
第二十一课,季节活动,なつまつり,夏祭り,夏日祭,名词
第二十一课,季节活动,もみじがり,紅葉狩り,赏红叶,名词
第二十一课,季节活动,ゆきまつり,雪祭り,雪祭,名词
第二十一课,计划安排,よてい,予定,计划,名词
第二十一课,计划安排,けいかく,計画,计划,名词
第二十一课,计划安排,やくそく,約束,约定,名词
第二十一课,计划安排,かいぎ,会議,会议,名词
第二十一课,计划安排,しゅっちょう,出張,出差,名词
第二十一课,时间推测,あした,明日,明天,名词
第二十一课,时间推测,あさって,明後日,后天,名词
第二十一课,时间推测,らいしゅう,来週,下周,名词
第二十一课,时间推测,らいげつ,来月,下个月,名词
第二十一课,时间推测,らいねん,来年,明年,名词
第二十一课,生活状况,いそがしい,忙しい,忙的,形容词
第二十一课,生活状况,ひま,暇,空闲的,形容词
第二十一课,生活状况,たいへん,大変,辛苦的,形容词
第二十一课,生活状况,らく,楽,轻松的,形容词
第21课,补充词汇,おもいます,思います,想，认为，觉得,动词(1型)
第21课,补充词汇,いいます,言います,说,动词(1型)
第21课,补充词汇,たります,足ります,足够,动词(1型)
第21课,补充词汇,かちます,勝ちます,赢，得胜,动词(1型)
第21课,补充词汇,まけます,負けます,输，落败,动词(1型)
第21课,补充词汇,あります,あります,举行（节庆）［おまつりが～］［お祭りが～］,动词(1型)
第21课,补充词汇,やくにたちます,役に立ちます,有用，起作用,动词(1型)
第21课,补充词汇,むだ［な］,むだ［な］,沒用〔的〕,な形容词
第21课,补充词汇,ふべん［な］,不便［な］,不便〔的〕,な形容词
第21课,补充词汇,おなじ,同じ,相同，一样,名词
第21课,补充词汇,すごい,すごい,厉害（的）（有褒或贬的意思）,数词
第21课,补充词汇,しゅしょう,首相,总理，首相,动词(1型)
第21课,补充词汇,だいとうりょう,大統領,总统,动词(1型)
第21课,补充词汇,せいじ,政治,政治,名词
第21课,补充词汇,ニュース,ニュース,新闻,外来词
第21课,补充词汇,スピーチ,スピーチ,演讲（～をします：进行演讲）,外来词
第21课,补充词汇,しあい,試合,比赛,い形容词
第21课,补充词汇,アルバイト,アルバイト,打工（～をします：打工）,外来词
第21课,补充词汇,いけん,意見,意见,名词
第21课,补充词汇,［お］はなし,［お］話,讲话，演讲，故事,名词
第21课,补充词汇,ユーモア,ユーモア,幽默,外来词
第21课,补充词汇,むだ,むだ,浪费,名词
第21课,补充词汇,デザイン,デザイン,设计,外来词
第21课,补充词汇,こうつう,交通,交通,动词(1型)
第21课,补充词汇,ラッシュ,ラッシュ,交通巅峰时间,外来词
第21课,补充词汇,さいきん,最近,最近,名词
第21课,补充词汇,ほんとうに,ほんとうに,真的，的确,な形容词
第21课,补充词汇,そんなに,そんなに,并不（用于否定）,数词
第21课,补充词汇,～について,～について,关于～,数词
第21课,补充词汇,しかたがありません。,しかたがありません。,没办法,名词
