课程,栏目,假名,汉字,释义,词性
第八课,形容词（い形容词）,おおきい,大きい,大的,形容词
第八课,形容词（い形容词）,ちいさい,小さい,小的,形容词
第八课,形容词（い形容词）,あたらしい,新しい,新的,形容词
第八课,形容词（い形容词）,ふるい,古い,旧的,形容词
第八课,形容词（い形容词）,いい,良い,好的,形容词
第八课,形容词（い形容词）,わるい,悪い,坏的,形容词
第八课,形容词（い形容词）,たかい,高い,高的/贵的,形容词
第八课,形容词（い形容词）,やすい,安い,便宜的,形容词
第八课,形容词（い形容词）,ひくい,低い,低，矮,形容词
第八课,形容词（い形容词）,おもしろい,面白い,有趣，有意思,形容词
第八课,形容词（い形容词）,つまらない,詰まらない,无聊的,形容词
第八课,形容词（な形容词）,きれい,綺麗,漂亮的,形容词
第八课,形容词（な形容词）,ゆうめい,有名,有名的,形容词
第八课,形容词（な形容词）,しずか,静か,安静的,形容词
第八课,形容词（な形容词）,にぎやか,賑やか,热闹的,形容词
第八课,形容词（な形容词）,ひま,暇,空闲的,形容词
第八课,形容词（な形容词）,たいへん,大変,辛苦的,形容词
第八课,食物味道,おいしい,美味しい,美味，好吃,形容词
第八课,食物味道,まずい,不味い,难吃的,形容词
第八课,食物味道,あまい,甘い,甜的,形容词
第八课,食物味道,からい,辛い,辣的,形容词
第八课,天气,あつい,暑い,热的,形容词
第八课,天气,さむい,寒い,冷的,形容词
第八课,天气,あたたかい,暖かい,温暖的,形容词
第八课,天气,すずしい,涼しい,凉爽的,形容词
第八课,程度副词,とても,とても,很，非常,副词
第八课,程度副词,あまり,あまり,不太（用于否定句）,副词
第八课,程度副词,ぜんぜん,全然,完全不,副词
第08课,形容词,ハンサム［な］,ハンサム［な］,英俊〔的〕,な形容词
第08课,形容词,きれい［な］,きれい［な］,美丽（的），干净（的）,な形容词
第08课,形容词,しずか［な］,静か［な］,安静（的）,な形容词
第08课,形容词,にぎやか［な］,にぎやか［な］,热闹的,な形容词
第08课,形容词,ゆうめい［な］,有名［な］,有名〔的〕,な形容词
第08课,形容词,しんせつ［な］,親切［な］,亲切（的）,な形容词
第08课,形容词,げんき［な］,元気［な］,身体好（的）,な形容词
第08课,形容词,ひま［な］,暇［な］,空闲（的）,な形容词
第08课,形容词,べんり［な］,便利［な］,方便〔的〕,な形容词
第08课,形容词,すてき［な］,すてき［な］,很好〔的〕，很棒〔的〕,な形容词
第08课,补充词汇,いい|よい,いい（よい）,好,名词
第08课,形容词,つめたい,冷たい,凉,い形容词
第08课,形容词,むずかしい,難しい,难,い形容词
第08课,形容词,やさしい,易しい,简单,い形容词
第08课,形容词,いそがしい,忙しい,忙碌,い形容词
第08课,形容词,たのしい,楽しい,愉快，高兴,い形容词
第08课,补充词汇,しろい,白い,白色的,名词
第08课,补充词汇,くろい,黒い,黑色的,名词
第08课,补充词汇,あかい,赤い,红色的,名词
第08课,补充词汇,あおい,青い,蓝色的,名词
第08课,补充词汇,さくら,桜,櫻花,名词
第08课,补充词汇,やま,山,山,名词
第08课,补充词汇,まち,町,城市，城镇,专有名词
第08课,补充词汇,たべもの,食べ物,食物,名词
第08课,补充词汇,くるま,車,汽车,名词
第08课,补充词汇,ところ,所,场所，地方,名词
第08课,补充词汇,りょう,寮,宿舍,动词(1型)
第08课,补充词汇,べんきょう,勉強,学习，用功,动词(1型)
第08课,补充词汇,せいかつ,生活,生活,动词(1型)
第08课,数量词,［お］しごと,［お］仕事,工作，职业（～をします：工作）,数词
第08课,补充词汇,どう,どう,怎样,动词(1型)
第08课,形容词,どんな～,どんな～,什么样的～,な形容词
第08课,数量词,どれ,どれ,哪个,代词
第08课,补充词汇,そして,そして,而且，还用（用于接续句子）,名词
第08课,补充词汇,～が、～,～が、～,～，但是～,名词
第08课,补充词汇,おげんきですか。,お元気ですか。,你好吗？,代词
第08课,补充词汇,そうですね。,そうですね。,是呀（用于思考回答时）。,时间词
