课程,栏目,假名,汉字,释义,词性
第十六课,兴趣爱好,しゅみ,趣味,兴趣,名词
第十六课,兴趣爱好,りょこう,旅行,旅行,名词
第十六课,兴趣爱好,さんぽ,散歩,散步,名词
第十六课,兴趣爱好,かいもの,買い物,购物,名词
第十六课,学习用品,どくしょ,読書,读书,名词
第十六课,兴趣爱好,えいが,映画,电影,名词
第十六课,兴趣爱好,おんがく,音楽,音乐,名词
第十六课,运动项目,スポーツ,スポーツ,运动,名词
第十六课,运动项目,やきゅう,野球,棒球,名词
第十六课,运动项目,サッカー,サッカー,足球,名词
第十六课,交通工具,バスケットボール,バスケットボール,篮球,名词
第十六课,运动项目,バレーボール,バレーボール,排球,名词
第十六课,食物饮品,すいえい,水泳,游泳,名词
第十六课,运动项目,スキー,スキー,滑雪,名词
第十六课,娱乐活动,ゲーム,ゲーム,游戏,名词
第十六课,娱乐活动,カラオケ,カラオケ,卡拉OK,名词
第十六课,娱乐活动,パーティー,パーティー,聚会,名词
第十六课,娱乐活动,コンサート,コンサート,音乐会,名词
第十六课,娱乐活动,ダンス,ダンス,舞蹈,名词
第十六课,学习活动,べんきょう,勉強,学习,名词
第十六课,学习活动,しゅくだい,宿題,作业,名词
第十六课,学习活动,じゅぎょう,授業,上课,名词
第十六课,学习活动,しけん,試験,考试,名词
第十六课,学习活动,れんしゅう,練習,练习,名词
第十六课,时间日期,まいにち,毎日,每天,名词
第十六课,频度表达,まいしゅう,毎週,每周,名词
第十六课,时间日期,まいつき,毎月,每月,名词
第十六课,时间日期,まいとし,毎年,每年,名词
第十六课,时间日期,ときどき,時々,有时,副词
第十六课,频度表达,よく,よく,经常,副词
第十六课,频度表达,たまに,たまに,偶尔,副词
第十六课,频度表达,ぜんぜん,全然,完全不,副词
第十六课,时间日期,ひまなとき,暇な時,空闲的时候,名词
第十六课,时间日期,やすみのひ,休みの日,休息日,名词
第16课,补充词汇,のります,乗ります,搭乘〔电车〕［でんしゃに～］［電車に～］,动词(1型)
第16课,补充词汇,おります,降ります,下〔电车〕［でんしゃを～］［電車を～］,动词(1型)
第16课,补充词汇,のりかえます,乗り換えます,换车,动词(1型)
第16课,补充词汇,あびます,浴びます,冲〔淋浴〕［シャワーを～］,动词(1型)
第16课,补充词汇,いれます,入れます,放入，放进,动词(1型)
第16课,补充词汇,だします,出します,拿出，取出,动词(1型)
第16课,补充词汇,はいります,入ります,进入，上〔大学〕［だいがくに～］［大学に～］,动词(1型)
第16课,补充词汇,でます,出ます,出，〔大学〕毕业,动词(1型)
第16课,补充词汇,やめます,やめます,〔职〕，停止，放弃［かいしゃを～］［会社を～］,动词(1型)
第16课,补充词汇,おします,押します,推，按,动词(1型)
第16课,时间日期,わかい,若い,年轻,い形容词
第16课,形容词,ながい,長い,长,い形容词
第16课,形容词,みじかい,短い,短,い形容词
第16课,时间日期,あかるい,明るい,明亮,い形容词
第16课,形容词,くらい,暗い,昏暗,い形容词
第16课,数量词,せがたかい,背が高い,个子高,い形容词
第16课,时间日期,あたまがいい,頭がいい,头脑好，聪明,い形容词
第16课,补充词汇,からだ,体,身体,名词
第16课,补充词汇,あたま,頭,头,名词
第16课,补充词汇,かみ,髪,头发,名词
第16课,补充词汇,かお,顔,脸,名词
第16课,补充词汇,め,目,眼睛,名词
第16课,补充词汇,みみ,耳,耳朵,名词
第16课,补充词汇,くち,口,嘴巴,名词
第16课,补充词汇,は,歯,牙齿,名词
第16课,补充词汇,おなか,おなか,肚子,名词
第16课,补充词汇,あし,足,脚，腿,名词
第16课,补充词汇,サービス,サービス,服务,外来词
第16课,补充词汇,ジョギング,ジョギング,慢跑（～をします：慢跑）,外来词
第16课,补充词汇,シャワー,シャワー,淋浴,外来词
第16课,补充词汇,みどり,緑,绿色，绿意,名词
第16课,补充词汇,［お］てら,［お］寺,寺庙,名词
第16课,补充词汇,じんじゃ,神社,神社,名词
第16课,形容词,りゅうがくせい,留学生,留学生,い形容词
第16课,补充词汇,…ばん,…番,…号,名词
第16课,补充词汇,どうやって,どうやって,怎样，如何,名词
第16课,数量词,どの～,どの～,哪个～（用于三者或以上）,方位词
第16课,补充词汇,［いいえ、］まだまだです。,［いいえ、］まだまだです。,"（不,〕还不行。还差得远。",名词
