课程,栏目,假名,汉字,释义,词性
第十八课,动作顺序,まえに,前に,...之前,助词
第十八课,动作顺序,あとで,後で,...之后,助词
第十八课,动作顺序,てから,てから,...之后（做）,助词
第十八课,动作顺序,ながら,ながら,一边...一边,助词
第十八课,日常作息,おきる,起きる,起床,动词
第十八课,日常作息,あらう,洗う,洗,动词
第十八课,日常作息,はみがき,歯磨き,刷牙,名词
第十八课,日常作息,シャワー,シャワー,淋浴,名词
第十八课,日常作息,あさごはん,朝ご飯,早饭,名词
第十八课,日常作息,ひるごはん,昼ご飯,午饭,名词
第十八课,日常作息,ばんごはん,晩ご飯,晚饭,名词
第十八课,日常作息,ねる,寝る,睡觉,动词
第十八课,家务活动,せんたく,洗濯,洗衣,名词
第十八课,家务活动,そうじ,掃除,打扫,名词
第十八课,家务活动,りょうり,料理,做饭,名词
第十八课,家务活动,かいもの,買い物,购物,名词
第十八课,家务活动,ゴミ,ゴミ,垃圾,名词
第十八课,家务活动,すてる,捨てる,扔掉,动词
第十八课,学习工作,べんきょう,勉強,学习,名词
第十八课,学习工作,しごと,仕事,工作,名词
第十八课,学习工作,かいぎ,会議,会议,名词
第十八课,学习工作,でんわ,電話,电话,名词
第十八课,学习工作,メール,メール,邮件,名词
第十八课,学习工作,レポート,レポート,报告,名词
第十八课,娱乐休闲,テレビ,テレビ,电视,名词
第十八课,娱乐休闲,おんがく,音楽,音乐,名词
第十八课,娱乐休闲,ほん,本,书,名词
第十八课,娱乐休闲,ゲーム,ゲーム,游戏,名词
第十八课,娱乐休闲,インターネット,インターネット,网络,名词
第十八课,动作连接,それから,それから,然后,连词
第十八课,动作连接,そして,そして,而且,连词
第十八课,动作连接,でも,でも,但是,连词
第十八课,时间顺序,はじめに,初めに,首先,副词
第十八课,时间顺序,つぎに,次に,接下来,副词
第十八课,时间顺序,さいごに,最後に,最后,副词
第18课,补充词汇,できます,できます,会，能够，可以,动词(1型)
第18课,补充词汇,あらいます,洗います,洗,动词(1型)
第18课,补充词汇,ひきます,弾きます,弹（钢琴等）,动词(1型)
第18课,补充词汇,うたいます,歌います,唱,动词(1型)
第18课,补充词汇,あつめます,集めます,收集,动词(1型)
第18课,补充词汇,すてます,捨てます,丢掉，舍弃,动词(1型)
第18课,补充词汇,かえます,換えます,交换，变换,动词(1型)
第18课,补充词汇,うんてんします,運転します,驾驶,动词(1型)
第18课,补充词汇,よやくします,予約します,预约,动词(1型)
第18课,补充词汇,けんがくします,見学します,参观见习,动词(1型)
第18课,补充词汇,ピアノ,ピアノ,钢琴,外来词
第18课,补充词汇,…メートル,…メートル,…公尺,外来词
第18课,补充词汇,こくさい～,国際～,国际～,专有名词
第18课,补充词汇,げんきん,現金,现金,名词
第18课,补充词汇,しゅみ,趣味,爱好，嗜好,名词
第18课,补充词汇,にっき,日記,日记,数词
第18课,补充词汇,［お］いのり,［お］祈り,祈祷（～をします：祈祷）,名词
第18课,补充词汇,かちょう,課長,课长，科长,动词(1型)
第18课,补充词汇,ぶちょう,部長,经理，部长,动词(1型)
第18课,补充词汇,しゃちょう,社長,总经理，社长,动词(1型)
