课程,栏目,假名,汉字,释义,词性
第十课,存在动词,います,います,有，在（表示生物的存在）,动词
第十课,存在动词,あります,あります,有，在（表示无生物的存在）,动词
第十课,存在动词,いません,いません,不在（有生命）,动词
第十课,存在动词,ありません,ありません,不在（无生命）,动词
第十课,位置关系,うえ,上,上，上面,名词
第十课,位置关系,した,下,下，下面,名词
第十课,位置关系,なか,中,里面，中间,名词
第十课,位置关系,そと,外,外面,名词
第十课,位置关系,となり,隣,隔壁，旁边,名词
第十课,位置关系,ちかく,近く,附近,名词
第十课,位置关系,まえ,前,前，前面,名词
第十课,位置关系,うしろ,後ろ,后，后面,名词
第十课,位置关系,あいだ,間,之间，中间,名词
第十课,家具家电,テーブル,テーブル,桌子,名词
第十课,家具家电,いす,椅子,椅子,名词
第十课,家具家电,ベッド,ベッド,床,名词
第十课,家具家电,れいぞうこ,冷蔵庫,冰箱,名词
第十课,家具家电,せんたくき,洗濯機,洗衣机,名词
第十课,家具家电,でんわ,電話,电话,名词
第十课,电子产品,パソコン,パソコン,电脑,名词
第十课,电子产品,テレビ,テレビ,电视,名词
第十课,动植物,いぬ,犬,狗,名词
第十课,动植物,ねこ,猫,猫,名词
第十课,动植物,とり,鳥,鸟,名词
第十课,动植物,さかな,魚,鱼,名词
第十课,动植物,き,木,树，木头,名词
第十课,动植物,はな,花,花,名词
第十课,建筑场所,こうえん,公園,公园,名词
第十课,场所地点,びょういん,病院,医院,名词
第十课,场所地点,ぎんこう,銀行,银行,名词
第十课,场所地点,ゆうびんきょく,郵便局,邮局,名词
第十课,食物饮品,ホテル,ホテル,酒店,名词
第十课,建筑场所,こんびに,コンビニ,便利店,名词
第十课,数量词,ひとつ,一つ,一个,数词
第十课,数量词,ふたつ,二つ,两个,数词
第十课,数量词,みっつ,三つ,三个,数词
第十课,数量词,よっつ,四つ,四个,数词
第十课,数量词,いつつ,五つ,五个,数词
第10课,形容词,いろいろ〔な〕,いろいろ〔な〕,各式各样〔的〕,な形容词
第10课,补充词汇,おとこの,ひと男の人,男子,名词
第10课,补充词汇,おんなの,ひと女の人,女子,名词
第10课,补充词汇,もの,物,物品，东西,方位词
第10课,补充词汇,フィルム,フィルム,底片，胶卷,外来词
第10课,补充词汇,でんち,電池,电池,名词
第10课,补充词汇,はこ,箱,盒子,名词
第10课,补充词汇,スイッチ,スイッチ,开关,外来词
第10课,补充词汇,べッド,べッド,床,外来词
第10课,补充词汇,たな,棚,架子,名词
第10课,补充词汇,ドア,ドア,门,外来词
第10课,补充词汇,まど,窓,窗戶,名词
第10课,补充词汇,ポスト,ポスト,邮筒，信箱,外来词
第10课,补充词汇,ビル,ビル,大厦，大楼,外来词
第10课,食物饮品,きっさてん,喫茶店,咖啡馆,名词
第10课,学习用品,ほんや,本屋,书店,名词
第10课,补充词汇,～や,～屋,～店,名词
第10课,形容词,のりば,乗り場,搭乘火车、计程车等交通工具的场所,な形容词
第10课,补充词汇,けん,県,县,专有名词
第10课,补充词汇,みぎ,右,右（边）,方位词
第10课,补充词汇,ひだり,左,左（边）,方位词
第10课,补充词汇,～や～〔など〕,～や～〔など〕,～啦～〔等〕,名词
第10课,数量词,いちばん～,いちばん～,最～（いちばんうえ：最上面，最高),数词
第10课,形容词,…だんめ,…段目,第…层（架子的第…层）,な形容词
