课程,栏目,假名,汉字,释义,词性
第二十二课,传闻表达,そうです,そうです,听说,表达
第二十二课,传闻表达,ということです,ということです,据说,表达
第二十二课,传闻表达,によると,によると,根据,助词
第二十二课,传闻表达,のはなし,の話,的说法,名词
第二十二课,信息来源,ニュース,ニュース,新闻,名词
第二十二课,信息来源,しんぶん,新聞,报纸,名词
第二十二课,信息来源,ラジオ,ラジオ,收音机,名词
第二十二课,信息来源,テレビ,テレビ,电视,名词
第二十二课,信息来源,インターネット,インターネット,网络,名词
第二十二课,信息来源,ざっし,雑誌,杂志,名词
第二十二课,社会话题,けいざい,経済,经济,名词
第二十二课,社会话题,せいじ,政治,政治,名词
第二十二课,社会话题,かんきょう,環境,环境,名词
第二十二课,社会话题,きょういく,教育,教育,名词
第二十二课,社会话题,ぶんか,文化,文化,名词
第二十二课,社会话题,スポーツ,スポーツ,体育,名词
第二十二课,事件事故,じこ,事故,事故,名词
第二十二课,事件事故,じしん,地震,地震,名词
第二十二课,事件事故,かじ,火事,火灾,名词
第二十二课,事件事故,びょうき,病気,疾病,名词
第二十二课,变化动词,あがります,上がります,上升,动词
第二十二课,变化动词,さがります,下がります,下降,动词
第二十二课,变化动词,ふえます,増えます,增加,动词
第二十二课,变化动词,へります,減ります,减少,动词
第二十二课,程度表达,とても,とても,非常,副词
第二十二课,程度表达,かなり,かなり,相当,副词
第二十二课,程度表达,すこし,少し,稍微,副词
第二十二课,程度表达,ちょっと,ちょっと,有点,副词
第二十二课,感受表达,びっくりしました,びっくりしました,吃惊,表达
第二十二课,感受表达,しんぱいです,心配です,担心,形容词
第二十二课,感受表达,あんしんしました,安心しました,安心,动词
第二十二课,感受表达,こまります,困ります,困扰,动词
第二十二课,感受表达,うれしい,嬉しい,高兴的,形容词
第二十二课,感受表达,かなしい,悲しい,悲伤的,形容词
第22课,补充词汇,きます,着ます,穿（衬衫等）［シャツを～］,动词(1型)
第22课,补充词汇,はきます,はきます,穿〔鞋，裤子〕［くつを～］［靴を～］,动词(1型)
第22课,补充词汇,かぶります,かぶります,戴〔帽子等〕［ぼうしを～］［帽子を～］,动词(1型)
第22课,补充词汇,かけます,かけます,戴〔眼镜〕［めがねを～］［眼鏡を～］,动词(1型)
第22课,补充词汇,うまれます,生まれます,出生,动词(1型)
第22课,补充词汇,コート,コート,大衣，外套,外来词
第22课,补充词汇,スーツ,スーツ,西裝,外来词
第22课,补充词汇,セーター,セーター,毛衣,外来词
第22课,补充词汇,ぼうし,帽子,帽子,名词
第22课,补充词汇,めがね,眼鏡,眼镜,名词
第22课,补充词汇,よく,よく,经常,动词(1型)
第22课,补充词汇,おめでとうございます。,おめでとうございます。,恭喜。（用于生日，婚礼，新年等时）,数词
