课程,栏目,假名,汉字,释义,词性
第二十三课,条件假设,と,と,如果...的话,助词
第二十三课,条件假设,ば,ば,如果,助词
第二十三课,条件假设,たら,たら,如果,助词
第二十三课,条件假设,なら,なら,如果是...的话,助词
第二十三课,自然现象,ゆき,雪,雪,名词
第二十三课,自然现象,あめ,雨,雨,名词
第二十三课,身体健康,かぜ,風邪,感冒,名词
第二十三课,自然现象,じしん,地震,地震,名词
第二十三课,自然现象,つなみ,津波,海啸,名词
第二十三课,身体健康,びょうき,病気,疾病,名词
第二十三课,身体健康,ねつ,熱,发烧,名词
第二十三课,身体健康,せき,咳,咳嗽,名词
第二十三课,身体健康,のど,喉,喉咙,名词
第二十三课,身体健康,あたま,頭,头,名词
第二十三课,身体健康,おなか,お腹,肚子,名词
第二十三课,医疗用品,くすり,薬,药,名词
第二十三课,医疗用品,ちゅうしゃ,注射,注射,名词
第二十三课,医疗用品,たいおんけい,体温計,体温计,名词
第二十三课,医疗用品,マスク,マスク,口罩,名词
第二十三课,解决方法,びょういんにいく,病院に行く,去医院,表达
第二十三课,解决方法,くすりをのむ,薬を飲む,吃药,表达
第二十三课,解决方法,やすむ,休む,休息,动词
第二十三课,解决方法,ねる,寝る,睡觉,动词
第二十三课,日常对策,かさ,傘,雨伞,名词
第二十三课,服装用品,コート,コート,外套,名词
第二十三课,日常对策,てぶくろ,手袋,手套,名词
第二十三课,日常对策,マフラー,マフラー,围巾,名词
第二十三课,交通工具,でんしゃ,電車,电车,名词
第二十三课,交通工具,バス,バス,公交车,名词
第二十三课,交通影响,ちこく,遅刻,迟到,名词
第二十三课,交通影响,きゅうこう,急行,快车,名词
第二十三课,结果表达,だから,だから,所以,连词
第二十三课,结果表达,それで,それで,因此,连词
第23课,移动动词,ききます,聞きます,问〔老师〕［せんせいに～］［先生に～］,动词(1型)
第23课,补充词汇,まわします,回します,转动,动词(1型)
第23课,移动动词,ひきます,引きます,拉,动词(1型)
第23课,补充词汇,かえます,変えます,改变，换,动词(1型)
第23课,补充词汇,さわります,触ります,摸，碰触〔门〕［ドアに～］,动词(1型)
第23课,移动动词,でます,出ます,〔零钱〕出来［おつりが～］［お釣りが～］,动词(1型)
第23课,时间日期,うごきます,動きます,（钟表）转动［とけいが～］［時計が～］,动词(1型)
第23课,移动动词,あるきます,歩きます,走〔路〕［みちを～］［道を～］,动词(1型)
第23课,补充词汇,わたります,渡ります,过（桥）［はしを～］［橋を～］,动词(1型)
第23课,补充词汇,きをつけます,気をつけます,小心〔车辆〕，注意〔车辆〕［くるまに～］［車に～］,动词(1型)
第23课,补充词汇,ひっこしします,引っ越しします,搬家,动词(1型)
第23课,补充词汇,でんきや,電気屋,电器行,名词
第23课,形容词,～や,～屋,经营某种店铺的人,な形容词
第23课,补充词汇,サイズ,サイズ,尺寸,外来词
第23课,补充词汇,おと,音,声音,名词
第23课,形容词,きかい,機械,机械，机器,い形容词
第23课,补充词汇,つまみ,つまみ,旋转钮,名词
第23课,补充词汇,こしょう,故障,故障（～します：发生故障）,动词(1型)
第23课,补充词汇,みち,道,道路,名词
第23课,补充词汇,こうさてん,交差点,十字路口,名词
第23课,补充词汇,しんごう,信号,红绿灯,动词(1型)
第23课,补充词汇,かど,角,转角,名词
第23课,补充词汇,はし,橋,桥,名词
第23课,补充词汇,ちゅうしゃじょう,駐車場,停车场,动词(1型)
第23课,补充词汇,め,…目,第…,名词
第23课,时间日期,［お］しょうがつ,［お］正月,新年,动词(1型)
第23课,寒暄语,ごちそうさま［でした］。,ごちそうさま［でした］。,谢谢你的款待。（用于饮食后）,な形容词
