课程,栏目,假名,汉字,释义,词性
第七课,授受动词,あげます,上げます,给，送,动词
第七课,授受动词,もらいます,貰います,接受，得到,动词
第七课,授受动词,くれます,呉れます,给我,动词
第七课,人物关系,かぞく,家族,家人,名词
第七课,人物关系,ちち,父,父亲,名词
第七课,人物关系,はは,母,母亲,名词
第七课,人物关系,あに,兄,哥哥,名词
第七课,人物关系,あね,姉,姐姐,名词
第七课,人物关系,おとうと,弟,弟弟,名词
第七课,人物关系,いもうと,妹,妹妹,名词
第七课,人物关系,つま,妻,妻子,名词
第七课,人物关系,しゅじん,主人,丈夫,名词
第七课,人物关系,こども,子供,孩子,名词
第七课,节日礼品,たんじょうび,誕生日,生日,名词
第七课,节日礼品,クリスマス,クリスマス,圣诞节,名词
第七课,节日礼品,プレゼント,プレゼント,礼物,名词
第七课,节日礼品,はな,花,花,名词
第七课,节日礼品,ケーキ,ケーキ,蛋糕,名词
第七课,节日礼品,チョコレート,チョコレート,巧克力,名词
第七课,时间副词,せんしゅう,先週,上周,名词
第七课,时间副词,こんしゅう,今週,这周,名词
第七课,时间副词,らいしゅう,来週,下周,名词
第七课,时间副词,せんげつ,先月,上个月,名词
第七课,时间副词,こんげつ,今月,这个月,名词
第七课,时间副词,らいげつ,来月,下个月,名词
第七课,时间副词,きょねん,去年,去年,名词
第七课,时间副词,ことし,今年,今年,名词
第七课,时间副词,らいねん,来年,明年,名词
第07课,补充词汇,きります,切ります,剪，切,动词(1型)
第07课,补充词汇,おくります,送ります,寄送,动词(1型)
第07课,补充词汇,かします,貸します,借（出）,动词(1型)
第07课,补充词汇,かります,借ります,借（入）,动词(1型)
第07课,补充词汇,おしえます,教えます,教,动词(1型)
第07课,补充词汇,ならいます,習います,学习,动词(1型)
第07课,补充词汇,かけます,かけます,打（电话）［でんわを～］［电話を～］,动词(1型)
第07课,补充词汇,て,手,手,名词
第07课,补充词汇,はし,はし,筷子,名词
第07课,补充词汇,スプーン,スプーン,汤匙,外来词
第07课,补充词汇,ナイフ,ナイフ,小刀,外来词
第07课,补充词汇,フォーク,フォーク,叉子,外来词
第07课,补充词汇,はさみ,はさみ,剪刀,名词
第07课,补充词汇,ファクス,ファクス,传真,外来词
第07课,补充词汇,ワープロ,ワープロ,文字处理机,外来词
第07课,补充词汇,パソコン,パソコン,个人电脑,外来词
第07课,补充词汇,パンチ,パンチ,打孔机,外来词
第07课,补充词汇,ホッチキス,ホッチキス,订书机,外来词
第07课,补充词汇,セロテープ,セロテープ,透明胶带,外来词
第07课,补充词汇,けしゴム,消しゴム,橡皮擦,外来词
第07课,补充词汇,かみ,紙,纸,名词
第07课,补充词汇,シャツ,シャツ,衬衫,外来词
第07课,补充词汇,にもつ,荷物,行李,动词(1型)
第07课,补充词汇,おかね,お金,钱,名词
第07课,补充词汇,きっぷ,切符,票,名词
第07课,补充词汇,おとうさん,お父さん,（他人的）父亲,な形容词
第07课,补充词汇,おかあさん,お母さん,（他人的）母亲,な形容词
第07课,补充词汇,もう,もう,已经,动词(1型)
第07课,补充词汇,まだ,まだ,尚未，还没有,名词
第07课,补充词汇,これから,これから,从现在起，这就,时间词
第07课,补充词汇,「～、」すてきですね。,「～、」すてきですね。,〔～〕，好棒哟！,名词
