课程,栏目,假名,汉字,释义,词性
第十三课,希望表达,ほしい,欲しい,想要（某事物）,形容词
第十三课,希望表达,たい,たい,想要（做）,助动词
第十三课,希望表达,ほしがっている,欲しがっている,想要（第三人称）,动词
第十三课,希望表达,たがっている,たがっている,想要做（第三人称）,动词
第十三课,邀请表达,いっしょに,一緒に,一起,副词
第十三课,邀请表达,ちょっと,ちょっと,一点,副词
第十三课,寒暄语,すみません,すみません,对不起,感叹词
第十三课,地点场所,映画館,えいがかん,电影院,名词
第十三课,地点场所,びじゅつかん,美術館,美术馆,名词
第十三课,地点场所,はくぶつかん,博物館,博物馆,名词
第十三课,地点场所,どうぶつえん,動物園,动物园,名词
第十三课,地点场所,ゆうえんち,遊園地,游乐园,名词
第十三课,地点场所,かいじょう,会場,会场,名词
第十三课,服装用品,ふく,服,衣服,名词
第十三课,服装物品,シャツ,シャツ,衬衫,名词
第十三课,服装用品,ズボン,ズボン,裤子,名词
第十三课,服装物品,スカート,スカート,裙子,名词
第十三课,服装物品,くつした,靴下,袜子,名词
第十三课,服装用品,ぼうし,帽子,帽子,名词
第十三课,服装物品,めがね,眼鏡,眼镜,名词
第十三课,颜色,あか,赤,红色,名词
第十三课,颜色,あお,青,蓝色,名词
第十三课,颜色,きいろ,黄色,黄色,名词
第十三课,颜色,みどり,緑,绿色,名词
第十三课,颜色,しろ,白,白色,名词
第十三课,颜色,くろ,黒,黑色,名词
第十三课,食物饮品,ちゃいろ,茶色,棕色,名词
第十三课,购物表达,いくら,いくら,多少钱,疑问词
第十三课,购物表达,たかい,高い,贵的,形容词
第十三课,购物表达,やすい,安い,便宜的,形容词
第十三课,数量词,これ,これ,这个,代词
第十三课,数量词,それ,それ,那个,代词
第十三课,数量词,あれ,あれ,那个（远处）,代词
第13课,补充词汇,あそびます,遊びます,玩，游乐,动词(1型)
第13课,补充词汇,およぎます,泳ぎます,游泳,动词(1型)
第13课,寒暄语,むかえます,迎えます,迎接，欢迎,动词(1型)
第13课,补充词汇,つかれます,疲れます,疲累,动词(1型)
第13课,补充词汇,だします,出します,寄〔信〕［てがみを～］［手紙を～］,动词(1型)
第13课,补充词汇,はいります入ります,はいります入ります,进入〔咖啡馆〕［きっさてんに～］［喫茶店に～］,动词(1型)
第13课,补充词汇,でます出ます,でます出ます,出〔咖啡馆〕［きっさてんを～］［喫茶店を～］,动词(1型)
第13课,补充词汇,けっこんします,結婚します,结婚,动词(1型)
第13课,补充词汇,かいものします,買い物します,购物，买东西,动词(1型)
第13课,基本动作,しょくじします,食事します,用餐，吃饭,动词(1型)
第13课,补充词汇,さんぽします,散歩します,〔在公园〕散步,动词(1型)
第13课,形容词,たいへん［な］,大変［な］,重大〔的〕,な形容词
第13课,形容词,さびしい,寂しい,孤独，寂寞,い形容词
第13课,形容词,ひろい,広い,宽广，广阔,い形容词
第13课,补充词汇,しやくしょ,市役所,市政府,专有名词
第13课,补充词汇,プール,プール,游泳池,外来词
第13课,补充词汇,かわ,川,河川,名词
第13课,形容词,けいざい,経済,经济,い形容词
第13课,补充词汇,びじゅつ,美術,美术,动词(1型)
第13课,补充词汇,つり,釣り,钓鱼（～をします：钓魚）,名词
第13课,补充词汇,スキー,スキー,滑雪（～をします：滑雪）,外来词
第13课,补充词汇,かいぎ,会議,会议（～をします：开会）,名词
第13课,补充词汇,とうろく,登録,登记（～をします：登记）,动词(1型)
第13课,补充词汇,しゅうまつ,週末,周末,动词(1型)
第13课,时间日期,～ごろ～,～ごろ～,左右（用于时间),数词
第13课,数量词,なにか,何か,某事物,数词
第13课,补充词汇,どこか,どこか,某处，某场所,名词
第13课,补充词汇,おなかがすきました。,おなかがすきました。,肚子饿了。,名词
第13课,补充词汇,おなかがいっぱいです。,おなかがいっぱいです。,吃饱了。,名词
第13课,补充词汇,のどがかわきました。,のどがかわきました。,口渴了。,名词
第13课,补充词汇,そうですね。,そうですね。,是呀。（表赞成）,名词
第13课,形容词,そうしましょう。,そうしましょう。,就这么办吧（表示同意他人的意见）,な形容词
