课程,栏目,假名,汉字,释义,词性
第十五课,许可禁止,てもいい,てもいい,可以...,表达
第十五课,许可禁止,てはいけません,てはいけません,不可以...,表达
第十五课,许可禁止,てはだめ,てはだめ,不行...,表达
第十五课,许可禁止,きんえん,禁煙,禁烟,名词
第十五课,许可禁止,きんし,禁止,禁止,名词
第十五课,许可禁止,しようきんし,使用禁止,禁止使用,名词
第十五课,拍照摄影,しゃしん,写真,照片,名词
第十五课,电子产品,カメラ,カメラ,相机,名词
第十五课,拍照摄影,とる,撮る,拍摄,动词
第十五课,拍照摄影,さつえい,撮影,摄影,名词
第十五课,交通规则,うんてん,運転,驾驶,名词
第十五课,交通规则,くるま,車,汽车,名词
第十五课,交通规则,ちゅうしゃ,駐車,停车,名词
第十五课,交通规则,しんごう,信号,信号灯,名词
第十五课,交通规则,みち,道,道路,名词
第十五课,交通规则,こうさてん,交差点,十字路口,名词
第十五课,学习用品,としょかん,図書館,图书馆,名词
第十五课,场所地点,びょういん,病院,医院,名词
第十五课,场所地点,くうこう,空港,机场,名词
第十五课,场所地点,えき,駅,车站,名词
第十五课,食物饮品,ホテル,ホテル,酒店,名词
第十五课,场所地点,レストラン,レストラン,餐厅,名词
第十五课,规则标识,にゅうじょうきんし,入場禁止,禁止入内,名词
第十五课,规则标识,きけん,危険,危险,名词
第十五课,规则标识,ちゅうい,注意,注意,名词
第十五课,规则标识,でぐち,出口,出口,名词
第十五课,规则标识,いりぐち,入口,入口,名词
第十五课,规则标识,ひじょうぐち,非常口,紧急出口,名词
第十五课,动作许可,はいる,入る,进入,动词
第十五课,移动动词,でる,出る,出去,动词
第十五课,动作许可,すう,吸う,吸（烟）,动词
第十五课,动作许可,つかう,使う,使用,动词
第十五课,动作许可,もつ,持つ,持有,动词
第15课,补充词汇,たちます,立ちます,站，立,动词(1型)
第15课,补充词汇,すわります,座ります,坐,动词(1型)
第15课,补充词汇,つかいます,使います,使用，用,动词(1型)
第15课,移动动词,おきます,置きます,放置，摆放,动词(1型)
第15课,补充词汇,つくります,作ります、造ります,做，制造,动词(1型)
第15课,补充词汇,うります,売ります,卖，销售,动词(1型)
第15课,补充词汇,しります,知ります,得知,动词(1型)
第15课,基本动作,すみます,住みます,居住,动词(1型)
第15课,补充词汇,けんきゅうします,研究します,研究,动词(1型)
第15课,补充词汇,しっています,知っています,知道,动词(1型)
第15课,补充词汇,すんでいます,住んでいます,居住〔在大阪〕［おおさかに～］［大阪に～］,动词(1型)
第15课,补充词汇,しりょう,資料,资料,动词(1型)
第15课,补充词汇,カタログ,カタログ,产品目录,外来词
第15课,时间日期,じこくひょう,時刻表,时刻表,动词(1型)
第15课,补充词汇,ふく,服,衣服,动词(1型)
第15课,补充词汇,せいひん,製品,产品,名词
第15课,补充词汇,ソフト,ソフト,柔软，软和；软件，程序,外来词
第15课,补充词汇,せんもん,専門,专业，专长,名词
第15课,人物称谓,はいしゃ,歯医者,牙科医生,名词
第15课,补充词汇,とこや,床屋,理发店，理发师,名词
第15课,形容词,プレイガイド,プレイガイド,（剧场等的）预售,な形容词
第15课,补充词汇,どくしん,独身,单身，未婚,名词
