课程,栏目,假名,汉字,释义,词性
"第二十课","敬语表达","いらっしゃいませ","いらっしゃいませ","欢迎光临","敬语"
"第二十课","敬语表达","ありがとうございます","ありがとうございます","谢谢","敬语"
"第二十课","敬语表达","すみません","すみません","对不起","敬语"
"第二十课","敬语表达","しつれいします","失礼します","打扰了","敬语"
"第二十课","敬语表达","おつかれさまでした","お疲れ様でした","辛苦了","敬语"
"第二十课","商店购物","みせ","店","商店","名词"
"第二十课","商店购物","デパート","デパート","百货商店","名词"
"第二十课","商店购物","スーパー","スーパー","超市","名词"
"第二十课","商店购物","コンビニ","コンビニ","便利店","名词"
"第二十课","商店购物","ほんや","本屋","书店","名词"
"第二十课","商店购物","くすりや","薬屋","药店","名词"
"第二十课","商店购物","でんきや","電気屋","电器店","名词"
"第二十课","购物用品","かいもの","買い物","购物","名词"
"第二十课","购物用品","おかね","お金","钱","名词"
"第二十课","购物用品","レシート","レシート","收据","名词"
"第二十课","购物用品","ふくろ","袋","袋子","名词"
"第二十课","购物用品","かーど","カード","卡","名词"
"第二十课","服装配件","ふく","服","衣服","名词"
"第二十课","服装配件","くつ","靴","鞋","名词"
"第二十课","服装配件","かばん","鞄","包","名词"
"第二十课","服装配件","とけい","時計","手表","名词"
"第二十课","服装配件","アクセサリー","アクセサリー","饰品","名词"
"第二十课","尺寸大小","おおきい","大きい","大的","形容词"
"第二十课","尺寸大小","ちいさい","小さい","小的","形容词"
"第二十课","尺寸大小","ながい","長い","长的","形容词"
"第二十课","尺寸大小","みじかい","短い","短的","形容词"
"第二十课","尺寸大小","サイズ","サイズ","尺寸","名词"
"第二十课","颜色选择","いろ","色","颜色","名词"
"第二十课","颜色选择","あか","赤","红色","名词"
"第二十课","颜色选择","あお","青","蓝色","名词"
"第二十课","颜色选择","きいろ","黄色","黄色","名词"
"第二十课","购物表达","いくらですか","いくらですか","多少钱","疑问句"
"第二十课","购物表达","やすく","安く","便宜地","副词"
"第二十课","购物表达","たかく","高く","贵地","副词"
