课程,栏目,假名,汉字,释义,词性
"第十课","存在动词","います","います","在（有生命）","动词"
"第十课","存在动词","あります","あります","在（无生命）","动词"
"第十课","存在动词","いません","いません","不在（有生命）","动词"
"第十课","存在动词","ありません","ありません","不在（无生命）","动词"
"第十课","位置关系","うえ","上","上面","名词"
"第十课","位置关系","した","下","下面","名词"
"第十课","位置关系","なか","中","里面","名词"
"第十课","位置关系","そと","外","外面","名词"
"第十课","位置关系","となり","隣","旁边","名词"
"第十课","位置关系","ちかく","近く","附近","名词"
"第十课","位置关系","まえ","前","前面","名词"
"第十课","位置关系","うしろ","後ろ","后面","名词"
"第十课","位置关系","あいだ","間","之间","名词"
"第十课","家具家电","テーブル","テーブル","桌子","名词"
"第十课","家具家电","いす","椅子","椅子","名词"
"第十课","家具家电","ベッド","ベッド","床","名词"
"第十课","家具家电","れいぞうこ","冷蔵庫","冰箱","名词"
"第十课","家具家电","せんたくき","洗濯機","洗衣机","名词"
"第十课","家具家电","でんわ","電話","电话","名词"
"第十课","家具家电","パソコン","パソコン","电脑","名词"
"第十课","家具家电","テレビ","テレビ","电视","名词"
"第十课","动植物","いぬ","犬","狗","名词"
"第十课","动植物","ねこ","猫","猫","名词"
"第十课","动植物","とり","鳥","鸟","名词"
"第十课","动植物","さかな","魚","鱼","名词"
"第十课","动植物","き","木","树","名词"
"第十课","动植物","はな","花","花","名词"
"第十课","建筑场所","こうえん","公園","公园","名词"
"第十课","建筑场所","びょういん","病院","医院","名词"
"第十课","建筑场所","ぎんこう","銀行","银行","名词"
"第十课","建筑场所","ゆうびんきょく","郵便局","邮局","名词"
"第十课","建筑场所","ホテル","ホテル","酒店","名词"
"第十课","建筑场所","こんびに","コンビニ","便利店","名词"
"第十课","数量词","ひとつ","一つ","一个","数词"
"第十课","数量词","ふたつ","二つ","两个","数词"
"第十课","数量词","みっつ","三つ","三个","数词"
"第十课","数量词","よっつ","四つ","四个","数词"
"第十课","数量词","いつつ","五つ","五个","数词"
