课程,栏目,假名,汉字,释义,词性
"第十三课","希望表达","ほしい","欲しい","想要","形容词"
"第十三课","希望表达","たい","たい","想要（做）","助动词"
"第十三课","希望表达","ほしがっている","欲しがっている","想要（第三人称）","动词"
"第十三课","希望表达","たがっている","たがっている","想要做（第三人称）","动词"
"第十三课","邀请表达","いっしょに","一緒に","一起","副词"
"第十三课","邀请表达","ちょっと","ちょっと","一点","副词"
"第十三课","邀请表达","すみません","すみません","对不起","感叹词"
"第十三课","地点场所","映画館","えいがかん","电影院","名词"
"第十三课","地点场所","びじゅつかん","美術館","美术馆","名词"
"第十三课","地点场所","はくぶつかん","博物館","博物馆","名词"
"第十三课","地点场所","どうぶつえん","動物園","动物园","名词"
"第十三课","地点场所","ゆうえんち","遊園地","游乐园","名词"
"第十三课","地点场所","かいじょう","会場","会场","名词"
"第十三课","服装物品","ふく","服","衣服","名词"
"第十三课","服装物品","シャツ","シャツ","衬衫","名词"
"第十三课","服装物品","ズボン","ズボン","裤子","名词"
"第十三课","服装物品","スカート","スカート","裙子","名词"
"第十三课","服装物品","くつした","靴下","袜子","名词"
"第十三课","服装物品","ぼうし","帽子","帽子","名词"
"第十三课","服装物品","めがね","眼鏡","眼镜","名词"
"第十三课","颜色","あか","赤","红色","名词"
"第十三课","颜色","あお","青","蓝色","名词"
"第十三课","颜色","きいろ","黄色","黄色","名词"
"第十三课","颜色","みどり","緑","绿色","名词"
"第十三课","颜色","しろ","白","白色","名词"
"第十三课","颜色","くろ","黒","黑色","名词"
"第十三课","颜色","ちゃいろ","茶色","棕色","名词"
"第十三课","购物表达","いくら","いくら","多少钱","疑问词"
"第十三课","购物表达","たかい","高い","贵的","形容词"
"第十三课","购物表达","やすい","安い","便宜的","形容词"
"第十三课","购物表达","これ","これ","这个","代词"
"第十三课","购物表达","それ","それ","那个","代词"
"第十三课","购物表达","あれ","あれ","那个（远处）","代词"
