课程,栏目,假名,汉字,释义,词性
"第十六课","兴趣爱好","しゅみ","趣味","兴趣","名词"
"第十六课","兴趣爱好","りょこう","旅行","旅行","名词"
"第十六课","兴趣爱好","さんぽ","散歩","散步","名词"
"第十六课","兴趣爱好","かいもの","買い物","购物","名词"
"第十六课","兴趣爱好","どくしょ","読書","读书","名词"
"第十六课","兴趣爱好","えいが","映画","电影","名词"
"第十六课","兴趣爱好","おんがく","音楽","音乐","名词"
"第十六课","运动项目","スポーツ","スポーツ","运动","名词"
"第十六课","运动项目","やきゅう","野球","棒球","名词"
"第十六课","运动项目","サッカー","サッカー","足球","名词"
"第十六课","运动项目","バスケットボール","バスケットボール","篮球","名词"
"第十六课","运动项目","バレーボール","バレーボール","排球","名词"
"第十六课","运动项目","すいえい","水泳","游泳","名词"
"第十六课","运动项目","スキー","スキー","滑雪","名词"
"第十六课","娱乐活动","ゲーム","ゲーム","游戏","名词"
"第十六课","娱乐活动","カラオケ","カラオケ","卡拉OK","名词"
"第十六课","娱乐活动","パーティー","パーティー","聚会","名词"
"第十六课","娱乐活动","コンサート","コンサート","音乐会","名词"
"第十六课","娱乐活动","ダンス","ダンス","舞蹈","名词"
"第十六课","学习活动","べんきょう","勉強","学习","名词"
"第十六课","学习活动","しゅくだい","宿題","作业","名词"
"第十六课","学习活动","じゅぎょう","授業","上课","名词"
"第十六课","学习活动","しけん","試験","考试","名词"
"第十六课","学习活动","れんしゅう","練習","练习","名词"
"第十六课","频度表达","まいにち","毎日","每天","名词"
"第十六课","频度表达","まいしゅう","毎週","每周","名词"
"第十六课","频度表达","まいつき","毎月","每月","名词"
"第十六课","频度表达","まいとし","毎年","每年","名词"
"第十六课","频度表达","ときどき","時々","有时","副词"
"第十六课","频度表达","よく","よく","经常","副词"
"第十六课","频度表达","たまに","たまに","偶尔","副词"
"第十六课","频度表达","ぜんぜん","全然","完全不","副词"
"第十六课","时间表达","ひまなとき","暇な時","空闲的时候","名词"
"第十六课","时间表达","やすみのひ","休みの日","休息日","名词"
