课程,栏目,假名,汉字,释义,词性
"第十一课","数量单位","ひとり","一人","一个人","数词"
"第十一课","数量单位","ふたり","二人","两个人","数词"
"第十一课","数量单位","さんにん","三人","三个人","数词"
"第十一课","数量单位","よにん","四人","四个人","数词"
"第十一课","数量单位","ごにん","五人","五个人","数词"
"第十一课","数量单位","いちまい","一枚","一张","数词"
"第十一课","数量单位","にまい","二枚","两张","数词"
"第十一课","数量单位","さんまい","三枚","三张","数词"
"第十一课","数量单位","いっぽん","一本","一根/支","数词"
"第十一课","数量单位","にほん","二本","两根/支","数词"
"第十一课","数量单位","さんぼん","三本","三根/支","数词"
"第十一课","数量单位","いっさつ","一冊","一本（书）","数词"
"第十一课","数量单位","にさつ","二冊","两本（书）","数词"
"第十一课","数量单位","さんさつ","三冊","三本（书）","数词"
"第十一课","数量单位","いちだい","一台","一台","数词"
"第十一课","数量单位","にだい","二台","两台","数词"
"第十一课","家族称呼","おとうさん","お父さん","父亲（敬语）","名词"
"第十一课","家族称呼","おかあさん","お母さん","母亲（敬语）","名词"
"第十一课","家族称呼","おにいさん","お兄さん","哥哥（敬语）","名词"
"第十一课","家族称呼","おねえさん","お姉さん","姐姐（敬语）","名词"
"第十一课","家族称呼","おとうとさん","弟さん","弟弟（敬语）","名词"
"第十一课","家族称呼","いもうとさん","妹さん","妹妹（敬语）","名词"
"第十一课","职业名称","いしゃ","医者","医生","名词"
"第十一课","职业名称","かんごし","看護師","护士","名词"
"第十一课","职业名称","きょうし","教師","教师","名词"
"第十一课","职业名称","エンジニア","エンジニア","工程师","名词"
"第十一课","职业名称","けいさつかん","警察官","警察","名词"
"第十一课","职业名称","しょうぼうし","消防士","消防员","名词"
"第十一课","职业名称","うんてんしゅ","運転手","司机","名词"
"第十一课","疑问数量","いくつ","幾つ","几个","疑问词"
"第十一课","疑问数量","なんにん","何人","几个人","疑问词"
"第十一课","疑问数量","なんまい","何枚","几张","疑问词"
"第十一课","疑问数量","なんぼん","何本","几根/支","疑问词"
"第十一课","疑问数量","なんさつ","何冊","几本（书）","疑问词"
"第十一课","疑问数量","なんだい","何台","几台","疑问词"
