课程,栏目,假名,汉字,释义,词性
"第二课","指示代词","これ","これ","这个","代词"
"第二课","指示代词","それ","それ","那个","代词"
"第二课","指示代词","あれ","あれ","那个(远处)","代词"
"第二课","指示代词","この","この","这个的","连体词"
"第二课","指示代词","その","その","那个的","连体词"
"第二课","指示代词","あの","あの","那个的(远处)","连体词"
"第二课","物品名称","ほん","本","书","名词"
"第二课","物品名称","じしょ","辞書","词典","名词"
"第二课","物品名称","ざっし","雑誌","杂志","名词"
"第二课","物品名称","しんぶん","新聞","报纸","名词"
"第二课","物品名称","ノート","ノート","笔记本","名词"
"第二课","物品名称","てちょう","手帳","手册","名词"
"第二课","物品名称","めいし","名刺","名片","名词"
"第二课","物品名称","カード","カード","卡片","名词"
"第二课","物品名称","テレホンカード","テレホンカード","电话卡","名词"
"第二课","物品名称","えんぴつ","鉛筆","铅笔","名词"
"第二课","物品名称","ボールペン","ボールペン","圆珠笔","名词"
"第二课","物品名称","かぎ","鍵","钥匙","名词"
"第二课","物品名称","とけい","時計","钟表","名词"
"第二课","物品名称","かさ","傘","雨伞","名词"
"第二课","物品名称","かばん","鞄","包","名词"
"第二课","所属关系","の","の","的","助词"
"第二课","疑问与应答","そうです","そうです","是的","感叹词"
"第二课","疑问与应答","ちがいます","違います","不对","动词"
