课程,栏目,假名,汉字,释义,词性
"第六课","日常动作","たべます","食べます","吃","动词"
"第六课","日常动作","のみます","飲みます","喝","动词"
"第六课","日常动作","すいます","吸います","吸(烟)","动词"
"第六课","日常动作","みます","見ます","看","动词"
"第六课","日常动作","ききます","聞きます","听","动词"
"第六课","日常动作","よみます","読みます","读","动词"
"第六课","日常动作","かきます","書きます","写","动词"
"第六课","日常动作","かいます","買います","买","动词"
"第六课","日常动作","とります","撮ります","拍(照片)","动词"
"第六课","日常动作","します","します","做","动词"
"第六课","日常动作","あいます","会います","见面","动词"
"第六课","食物饮料","ごはん","ご飯","米饭","名词"
"第六课","食物饮料","パン","パン","面包","名词"
"第六课","食物饮料","たまご","卵","鸡蛋","名词"
"第六课","食物饮料","にく","肉","肉","名词"
"第六课","食物饮料","さかな","魚","鱼","名词"
"第六课","食物饮料","やさい","野菜","蔬菜","名词"
"第六课","食物饮料","くだもの","果物","水果","名词"
"第六课","食物饮料","みず","水","水","名词"
"第六课","食物饮料","おちゃ","お茶","茶","名词"
"第六课","食物饮料","コーヒー","コーヒー","咖啡","名词"
"第六课","食物饮料","ビール","ビール","啤酒","名词"
"第六课","食物饮料","ジュース","ジュース","果汁","名词"
"第六课","食物饮料","ミルク","ミルク","牛奶","名词"
"第六课","娱乐活动","えいが","映画","电影","名词"
"第六课","娱乐活动","テレビ","テレビ","电视","名词"
"第六课","娱乐活动","ラジオ","ラジオ","收音机","名词"
"第六课","娱乐活动","おんがく","音楽","音乐","名词"
"第六课","娱乐活动","しゃしん","写真","照片","名词"
"第六课","助词","を","を","(宾语助词)","助词"
"第六课","助词","で","で","在、用","助词"
"第六课","疑问词","なに","何","什么","疑问词"
"第六课","疑问词","いっしょに","一緒に","一起","副词"
