课程,栏目,假名,汉字,释义,词性
"第五课","移动动词","いきます","行きます","去","动词"
"第五课","移动动词","きます","来ます","来","动词"
"第五课","移动动词","かえります","帰ります","回来","动词"
"第五课","交通工具","でんしゃ","電車","电车","名词"
"第五课","交通工具","バス","バス","公共汽车","名词"
"第五课","交通工具","タクシー","タクシー","出租车","名词"
"第五课","交通工具","じてんしゃ","自転車","自行车","名词"
"第五课","交通工具","あるいて","歩いて","步行","副词"
"第五课","场所名称","がっこう","学校","学校","名词"
"第五课","场所名称","かいしゃ","会社","公司","名词"
"第五课","场所名称","うち","家","家","名词"
"第五课","场所名称","えき","駅","车站","名词"
"第五课","场所名称","ひこうじょう","飛行場","机场","名词"
"第五课","场所名称","デパート","デパート","百货商店","名词"
"第五课","场所名称","スーパー","スーパー","超市","名词"
"第五课","场所名称","きっさてん","喫茶店","咖啡店","名词"
"第五课","场所名称","レストラン","レストラン","餐厅","名词"
"第五课","国家城市","にほん","日本","日本","名词"
"第五课","国家城市","ちゅうごく","中国","中国","名词"
"第五课","国家城市","かんこく","韓国","韩国","名词"
"第五课","国家城市","アメリカ","アメリカ","美国","名词"
"第五课","国家城市","とうきょう","東京","东京","名词"
"第五课","国家城市","おおさか","大阪","大阪","名词"
"第五课","国家城市","きょうと","京都","京都","名词"
"第五课","疑问词","いつ","いつ","什么时候","疑问词"
"第五课","疑问词","どこ","どこ","哪里","疑问词"
