课程,栏目,假名,汉字,释义,词性
"第二十一课","意见建议","と思います","と思います","我认为","表达"
"第二十一课","意见建议","でしょう","でしょう","吧/大概","助动词"
"第二十一课","意见建议","たぶん","多分","也许","副词"
"第二十一课","意见建议","きっと","きっと","一定","副词"
"第二十一课","天气预报","てんき","天気","天气","名词"
"第二十一课","天气预报","はれ","晴れ","晴天","名词"
"第二十一课","天气预报","くもり","曇り","阴天","名词"
"第二十一课","天气预报","あめ","雨","雨","名词"
"第二十一课","天气预报","ゆき","雪","雪","名词"
"第二十一课","天气预报","かぜ","風","风","名词"
"第二十一课","天气预报","たいふう","台風","台风","名词"
"第二十一课","天气预报","つゆ","梅雨","梅雨","名词"
"第二十一课","季节活动","はる","春","春天","名词"
"第二十一课","季节活动","なつ","夏","夏天","名词"
"第二十一课","季节活动","あき","秋","秋天","名词"
"第二十一课","季节活动","ふゆ","冬","冬天","名词"
"第二十一课","季节活动","はなみ","花見","赏花","名词"
"第二十一课","季节活动","なつまつり","夏祭り","夏日祭","名词"
"第二十一课","季节活动","もみじがり","紅葉狩り","赏红叶","名词"
"第二十一课","季节活动","ゆきまつり","雪祭り","雪祭","名词"
"第二十一课","计划安排","よてい","予定","计划","名词"
"第二十一课","计划安排","けいかく","計画","计划","名词"
"第二十一课","计划安排","やくそく","約束","约定","名词"
"第二十一课","计划安排","かいぎ","会議","会议","名词"
"第二十一课","计划安排","しゅっちょう","出張","出差","名词"
"第二十一课","时间推测","あした","明日","明天","名词"
"第二十一课","时间推测","あさって","明後日","后天","名词"
"第二十一课","时间推测","らいしゅう","来週","下周","名词"
"第二十一课","时间推测","らいげつ","来月","下个月","名词"
"第二十一课","时间推测","らいねん","来年","明年","名词"
"第二十一课","生活状况","いそがしい","忙しい","忙的","形容词"
"第二十一课","生活状况","ひま","暇","空闲的","形容词"
"第二十一课","生活状况","たいへん","大変","辛苦的","形容词"
"第二十一课","生活状况","らく","楽","轻松的","形容词"
